Grade,Chapter,Topic Nos.,Topic,Subtopic Nos.,"Skill (Reading, Listening, Speaking, Writing, Language)",Domain & Axis,Standard , Learning Objectives Nos., Learning Objectives ," Linguistic Concepts (Grammar, Spelling, Rhetoric)",Saal Practice,Saal Lessons,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,القرآُن الكريُم : البَلُد الآِمُن,1.1.1,القراءة,قراءة النصوص الأدبية/معرفة الفكر الرئيسة والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.1,يَتَبَيَّن المَعنَى الإْجَماَّلي للآياِت الَكِريْمِة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,القرآُن الكريُم : البَلُد الآِمُن,1.1.1,اللغة (المعجم),اللغة/اكتساب المفردات واستخدامها (المعجم),أن يفسر المفردات الجديدة من خلال سياقاتها المختلفة,G7.6.1.3.2,يُفّسُر المفرداِت باستخداِم المُعَجِم,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,القرآُن الكريُم : البَلُد الآِمُن,1.1.1,القراءة,قراءة النصوص الأدبية/معرفة الفكر الرئيسة والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.1,يَستَخِلص الأْفكاَر.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,القرآُن الكريُم : البَلُد الآِمُن,1.1.1,القراءة,قراءة النصوص الادبية/تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G7.2.2.1.1,يُحّدُّد بَعَضَ مواِطِن جَماِل اُلأْسلوِب.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: إِشراقَة وَطٍن,1.1.2,القراءة,قراءة النصوص الأدبية/معرفة الفكر الرئيسة والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.1,يبين المتعلم المعنى الاجمالي للنص الشعري,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: إِشراقَة وَطٍن,1.1.2,اللغة (المعجم),اللغة/اكتساب المفردات واستخدامها (المعجم),أن يفسر المفردات الجديدة من خلال سياقاتها المختلفة,G7.6.1.3.2,يُفِّسُر المفرداِت باْستخداِم المُعَجَم.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: إِشراقَة وَطٍن,1.1.2,القراءة,قراءة النصوص الأدبية/معرفة الفكر الرئيسة والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.2,يُحِّدُد الَّدلالات الإيحائيَّة والمَجازيَّة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: إِشراقَة وَطٍن,1.1.2,القراءة,قراءة النصوص الأدبية/تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G7.2.3.1.6,يَحَفُظ ثَمانِيَة أبياٍت,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: تَفاؤٌل وأمٌل,1.1.3,القراءة,قراءة النصوص الادبية/معرفة الفكر الرئيسة والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.1,"يُحِّدُد المَعنى الإْجمالي لِلنَّص الأَد ِّبي، مَوِّضًحا الِفَكَر الَّرئيَسَة والجْزئِيَّة فيه.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: تَفاؤٌل وأمٌل,1.1.3,القراءة,قراءة النصوص الادبية/معرفة الفكر الرئيسية والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.2,"يُفِّسُرَ كِلماِت النَّص الأَدِّبي ،ُ مْستَنتِجا الَّدلالاِت التَّعبِيريَّة فيه.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,شعٌر: تَفاؤٌل وأمٌل,1.1.3,القراءة,قراءة النصوص الادبية/تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G7.2.3.1.6,يَحَفُظَ عْشرَة أبياٍت من الَقِصيَدة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,قِّصٌة: حّسوٌن الَحّواي,1.1.4,القراءة,قراءة النصوص الادبية/تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G7.2.2.1.4,يُحِّدُد الَعناِصَر الَفنِّيَّة لِلِقَّصِة الَقصيرِة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,قِّصٌة: حّسوٌن الَحّواي,1.1.4,اللغة (المعجم),اللغة/اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G7.6.1.2.1,يُحّدُدَ علاقاِت التَّضاِد والتّرادِف بين الكلماِت.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,قِّصٌة: حّسوٌن الَحّواي,1.1.4,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة مــن السـياقات والمهام  التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G5.5.1.2.2,يُعيُد سْرَد الِقَّصِة بأُسلوبِه الخاِّص شفويًا.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,قِّصٌة: حّسوٌن الَحّواي,1.1.4,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم نصوصا سردية ومعلوماتية وإقناعية ووصفية وتظهر كتاباته تقيده بالسلامة اللغوية.,G7.4.2.4.6,"يُلخص الِقصَة، ويَنشُرها.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,نَص معلوماتٌّي: بُرُج خليفَة.,1.1.5,القراءة,قراءة النصوص المعلوماتية/معرفة الفكر الرئيسة والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G7.3.1.1.1,يُحِّدُد الِفَكَر الّرئيَسَة للنَّص بعَد تحليلِه المَعلوماِت الَّصريحِة والِّضمنِيَّةُ مستشهًدا بعدٍد مَن الأَّدلِة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,نَص معلوماتٌّي: بُرُج خليفَة.,1.1.5,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.3.2.1.1,يفّسُر الَكلماِت والمُصصلحاِت الواِرَدَة في نُصوٍصَ معلوماتيٍّة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,نَص معلوماتٌّي: بُرُج خليفَة.,1.1.5,القراءة,قراءة النصوص المعلوماتية/تكامل المعرفة مع المهارات,"أن يتبين وظيفة النص من خلال الوسائط المختلفة، وينقد ما جاء فيه من معارف وآراء، ويبني خبرات جديدة ليوظفها في نتاجات متنوعة",G7.3.3.1.3,"يُصِّمُم ِ خريَطًةَ مفاِهيِميَّة يُفِّرُغ فيها ماَقَرأَه منَ مْعلوماٍتُ متَشِّعبَة ،ُ مضيًفا إليهاَ مْعلوماٍت أخرى قرأَها في الشبكة",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,نَص معلوماتٌّي: البَراجيُل,1.1.6,القراءة,قراءة النصوص المعلوماتية/معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G7.3.1.1.1,"يُحِّدُد الِفَكَر الّرئيَسَة للنَّص من ِخلاِل التَّفاصيِل والأدلِّة الّداِعَمِة ، والمَعلوماِت الَّصريحِة والِّضمنِيَّة.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.1,نَص معلوماتٌّي: البَراجيُل,1.1.6,القراءة,قراءة النصوص المعلوماتية/تكامل المعرفة مع المهارات,"أن يتبين وظيفة النص من خلال الوسائط المختلفة، وينقد ما جاء فيه من معارف وآراء، ويبني خبرات جديدة ليوظفها في نتاجات متنوعة",G7.3.3.1.3,"يُصِّمُم ِ خريَطًةَ مفاِهيِميَّة يُفِّرُغ فيها ماَقَرأَه منَ مْعلوماٍتُ متَشِّعبَة ،ُ مضيًفا إليهاَ مْعلوماٍت أخرى قرأَها في الشبكة",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.2,قَصُر الِحصِن.,1.2.1,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.2,"يحِّلُل المتعِّلُم الماَّدَة المسموعَة محِّدًدا الَعلاقاِت بَين أجزاِء النَّص ، مفاِضًلا بَين الآراِء المطروَحِة.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.2,الإِبْداُع,1.2.2,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.2,"يحِّلُل المتعِّلُم الماَّدَة المسموعَة محِّدًدا الَعلاقاِت بَين أجزاِء النَّص ، مفاِضًلا بَين الآراِء المطروَحِة.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.3,الِمْهَرجاناُت التُّراثيَّة,1.3.1,الاستماع والمحادثة,المحادثة/ استيعاب المعرفة وتقديمها,"أن يستخدم المتعلم الوسائط الرقمية في العروض البصرية للتعبير عن المعلومات، ويفهم المــادة المعروضة من خلال هذه الوسائط.",G7.5.1.5.2,يعرُض المتعِّلُم نًّصا معلوماتيًّا بأشكاٍل مرئيَّة أو باستخداِم الوسائِط المتعِّدَدِة شارًحا كيَف تُسهُم تلَك المُعيناِت في توضيِح الموضوِع.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.4,الَمبنُّي للمجهوِل,1.4.1,اللغة (النحو والصرف),اللغة/ بنية اللغة العربية (النحو والصرف),"أن يتعرف المتعلم المفاهيم النحوية والصرفية، ويستخدمها استخداما صحيحا.",G7.6.2.2.1,"يتعَّرف المتعِّلُم الفعَل المبني للمعلوِم والمبني للمجهوِل، ونائب الفاعِل، ويعربُهما ويوِّظُفهما توظيًفا صحيًحا.",الَمبنُّي للمجهوِل,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.5,كتابَة نَص سّردٍّي,1.5.1,الكتابة,الكتابة/انتاج الأعمال الكتابية ونشرها,"أن يكتب المتعلم نصوصا تعبر عن  فكرة مركزية تظهر مقدرة على التركيز والتنظيم وتدل على وعي كامل بالمتلقي في علاقته بغرض وبموضوع الكتابة، مطورا مهاراته الكتابية من خلال مراحل الكتابة (ما قبل الكتابة، المسودة، المراجعة)، لتحرير النص.
",G7.4.2.3.1,يعُّد مخَّطًطا لأفكارِه بِمْنَهجيَّة تَنظيِميَّة متَواِزنَة,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.5,كتابَة نَص سّردٍّي,1.5.1,الكتابة,الكتابة/انتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم نصوصا سردية ومعلوماتية وإقناعية ووصفية وتظهر كتاباته تقيده بالسلامة اللغوية.,G7.4.2.4.1,"يكتُب سيرًة ذاتيَّة أو نُصوصا َسرِديَّة تشتَمل على الشخصيَّات الَّرئيسِة والثَّانويَّة والحبكِة والصراع والإطار الزماني و
المكاني محددا وجهة نظر مناسبة، ُمستخدما تِقنيَّات السرد والوصف والحوار.",كتابة نص سردي (قصصي),,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.5,كتابَة نَص سّردٍّي,1.5.1,الكتابة,الكتابة/انتاج الأعمال الكتابية ونشرها,أن يستخدم المتعلم التكنولوجيا بما فيها الإنترنت وغيرها من المصادر لينتج وينشر عملا كتابيا متفاعلا مع الآخرين,G7.4.2.5.2,يَنُشُر ما َكتَبَهِ مْن خلاِل المَنشوراِت المَدرسيِّة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.5,كتابَة نَص سّردٍّي,1.5.1,اللغة (البلاغة),اللغة/بنية اللغة العربية: (البلاغة),"أن يتعرف المتعلم المفاهيم البلاغية، ويتذوقها ويوظفها في إنتاجه اللغوي",G7.6.5.1.2,يَتعَّرُف المتعِّلُم الأغراَض البَلاغيَّة للأسلوِب اَلخبرِّي.,الأغراض البلاغية للأسلوب الخبري,,,,,,,,,,,,,,,,
Grade 7,الوحدة الأولى,1.5,كتابَة نَص سّردٍّي,1.5.1,اللغة (البلاغة),اللغة/بنية اللغة العربية: (البلاغة),"أن يتعرف المتعلم المفاهيم البلاغية، ويتذوقها ويوظفها في إنتاجه اللغوي",G7.6.5.1.4,يُنتِج جمًلا تَتضَّمُن أَغراًضا بلاِغيَّةُ متنِّوَعًة للأسلوِب اَلخبرِّي والإنشائِّي,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شْعٌر: رسالٌة إلى أُّمي,2.1.1,القراءة,قراءة النصوص الادبية/تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G7.2.2.1.1," يُعِّلُل اْستِخداَم اللُّغِة المجاِزيَّة في النَّص الأدِّبي، واِصًفا كيَف تُؤثِّر على النَّص.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شْعٌر: رسالٌة إلى أُّمي,2.1.1,اللغة (المعجم),اللغة/اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G7.6.1.2.3, يُفِّسُر المُتَعِّلُم أَسماًء وأْفعالا بِمراِدفاتِها وأَضداِدها. ,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شْعٌر: رسالٌة إلى أُّمي,2.1.1,القراءة,قراءة النصوص الادبية/تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G7.2.3.1.6, يَحَفُظ نُصوًصا شْعِريَّة تَتأَلَّف مْن 8-10 أبياٍت أو أْسُطٍر. ,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شعٌر: ثوُب العيِد,2.1.2,القراءة,قراءة النصوص الادبية/معرفة الفكر الرئيسية والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.1, يحدد المعنى الإجمالي للنص الأدبي موضًحا الفكر الرئيسة والجزئية فيه.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شعٌر: ثوُب العيِد,2.1.2,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.2.1.1.2, يفسر كلمات النص االأدبي مستنتًجا الدلالات التعبيرية فيه. ,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شعٌر: ثوُب العيِد,2.1.2,القراءة,قراءة النصوص الادبية/تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G7.2.2.1.1, يعلل استخدام اللغة المجازية في النص الأدبي واصًفا كيف تؤثر على النص. ,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,شعٌر: ثوُب العيِد,2.1.2,القراءة,قراءة النصوص الادبية/تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G7.2.3.1.6, يَْحَفُظ ثَمانِيََة أبياٍت( ثلاثَة عشَر سطًرا شعريًّا),,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,قِّصٌة: قلُب أّمي,2.1.3,القراءة,قراءة النصوص الادبية/معرفة الفكر الرئيسية والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G7.2.1.1.4, يتعّرُف المتعّلُم تقنياِت الَّسرِد والوصِف والحواِر في الكتابِة القصصيَّة.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتّي: مَع والِدَّي,2.1.4,القراءة,قراءة النصوص المعلوماتية/معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G7.3.1.1.2, يستِّدُّل على ارتباِط فْكرتين رئيستَيِن أو أَكثَر في النَّص مع بعضها.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتّي: مَع والِدَّي,2.1.4,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.3.2.1.3,يصف مدى انسجام الجمل والفقرات المكتوبة والبناء العاّم للنَّص المعلوماتي مع الّرسومات والأشكال الواردة فيه.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتّي: مَع والِدَّي,2.1.4,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.3.2.1.4," يحّلل أسلوب المؤلّف في عرض وجهة نظره أو غايته مثل الإقناع، التَّأريخ للأحداث، الوصف، الَّشرح.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتٌّي: الَعْطف على الأبْناِء,2.1.5,القراءة,قراءة النصوص المعلوماتية/معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G7.3.1.1.2, يستِّدُّل على ارتباِط فْكرت ِين رئيستَيِن أو أَكثَر في النَّص مع بعضها.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتٌّي: الَعْطف على الأبْناِء,2.1.5,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.3.2.1.3,يصف مدى انسجام الجمل والفقرات المكتوبة والبناء العام للنص المعلوماتي مع الرسومات والأشكال الواردة فيه.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.1,نَص معلوماتٌّي: الَعْطف على الأبْناِء,2.1.5,القراءة,قراءة النصوص المعلوماتية/تحليل النص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G7.3.2.1.4," يحلل أسلوب المؤلف في عرض وجهة نظره أو غايته مثل الإقناع، التأريخ للأحداث، الوصف، الشرح.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.2,صورُة الَجَّدِة,2.2.1,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.2," يُحّلل المتعّلُم المَاَّدَة المَسموَعَة، محدًدا العلاقات بين أجزاء النص، مفاضلا بين الآراء المطروحة.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.2,صورُة الَجَّدِة,2.2.1,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.1,"يُخّمُن المتعّلُم معاني الكلماِت غير المَعروفِة في النَّص، محدًدا الإيماءات والإشارات وتعبيرات الوجه الَّتي وّظفها المتحدث لتلبية المعاني والأحاسيس.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.2,اللّيْرُة الَّذهبيُّة,2.2.2,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.2," يُحّلل المتعّلُم المَاَّدَة المَسموَعَة، محِّدًدا العلاقات بين أجزاء النص، مفاضلا بين الآراء المطروحة.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.2,اللّيْرُة الَّذهبيُّة,2.2.2,الاستماع والمحادثة,الاستماع/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.1,"يُخّمُن المتعّلُم معاني الكلماِت غير المَعروفِة في النَّص، محدًدا الإيماءات والإشارات وتعبيرات الوجه الَّتي وّظفها المتحدث لتلبية المعاني والأحاسيس.",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.3,الأُسرُة والُمجتْمُع,2.3.1,الاستماع والمحادثة,المحادثة/ استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة مــن السـياقات والمهام  التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G7.5.1.4.2,"يقّدم المتعّلم عرًّضا تقديميًّا معلوماتيًا تقديمًا منطقيًّا، موّظًفا وسائل عرض مناسبة، مراعيًا المّدة الّزمنيّة المخّصصة للعرض، مستخدًما الّلغة العربيّة الفصيحة. ",,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.3,الأُسرُة والُمجتْمُع,2.3.1,الاستماع والمحادثة,المحادثة/ استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G7.5.1.2.1, يُحّدُد الإيماءاِت والإشاراِت وتعبيراِت الوْجِه الَّتي وَّظفها المتحّدُث لتلبيِة المعاني والأحاسيِس.,,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.4,المفعوُل لَه,2.4.1,اللغة (النحو والصرف),*اللغة/ بنية اللغة العربية (النحو والصرف),"أن يتعرف المتعلم المفاهيم النحوية والصرفية، ويستخدمها استخداما صحيحا.",G7.6.2.2.8,  يَتَعّرف المُتِّعلُم المَفعوَل لُه ويُعِربُه إْعرابًا صحيًحا ويُوّظُفُه في كتابتِه.,المفعوُل لَه,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.5,كتابَة تَّقريٍر بَحثِّي,2.5.1,الكتابة,الكتابة/انتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم نصوصا سردية ومعلوماتية وإقناعية ووصفية وتظهر كتاباته تقيده بالسلامة اللغوية.,G7.4.2.4.4,"يكتب تقريًرا بحثيًا عن فكرة أو قضية مهمة باختيار سؤال مركزي واحد، مؤسًسا لفكرة مركزية، مطوًرا  الفكرة بالأدلة والأمثلة مضمنًا بحثه قائمة بالمصادر والمراجع",كتابة تقرير بحثي,,,,,,,,,,,,,,,,
Grade 7,الوحدة الثانية,2.5,كتابَة تَّقريٍر بَحثِّي,2.5.1,الكتابة,الكتابة/البحث عن المعلومات,أن يبحث المتعلم عن المعلومات ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بالمادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها.,G7.4.1.1.1, يبحث بفاعلية عن المعلومات المتصلة بموضوع بحثه من مصادر مطبوعة ورقمية.,,,,,,,,,,,,,,,,,
